bank_name,sector,prime_rate,max_rate,reporting_date
CORONATION MERCHANT BANK,MANUFACTURING,19.5,24.0,2026-01-02
ECOBANK,MANUFACTURING,9.0,35.0,2026-01-02
FBN QUEST MERCHANT BANK,MANUFACTURING,26.75,35.0,2026-01-02
FCMB,MANUFACTURING,7.0,33.0,2026-01-02
FIDELITY BANK,MANUFACTURING,31.0,46.1,2026-01-02
FIRST BANK OF NIGERIA,MANUFACTURING,30.0,36.0,2026-01-02
FSDH MERCHANT BANK,MANUFACTURING,26.0,36.0,2026-01-02
GLOBUS BANK LTD,MANUFACTURING,25.0,29.0,2026-01-02
GREENWICH MERCHANT BANK,MANUFACTURING,31.0,33.0,2026-01-02
GUARANTY TRUST BANK,MANUFACTURING,27.0,30.0,2026-01-02
KEYSTONE BANK LTD,MANUFACTURING,11.0,32.0,2026-01-02
NOVA BANK,MANUFACTURING,30.5,36.0,2026-01-02
OPTIMUS BANK,MANUFACTURING,30.0,18.4,2026-01-02
PARALLEX BANK,MANUFACTURING,28.5,35.0,2026-01-02
POLARIS BANK,MANUFACTURING,30.0,32.5,2026-01-02
PREMIUM TRUST BANK,MANUFACTURING,29.0,36.0,2026-01-02
PROVIDUS BANK,MANUFACTURING,28.0,35.0,2026-01-02
RAND MERCHANT BANK NIG. LTD,MANUFACTURING,27.0,35.0,2026-01-02
SIGNATURE BANK,MANUFACTURING,21.0,23.0,2026-01-02
STANBIC IBTC,MANUFACTURING,32.0,36.0,2026-01-02
STANDARD CHARTERED BANK,MANUFACTURING,1.0,60.0,2026-01-02
STERLING BANK,MANUFACTURING,23.0,26.0,2026-01-02
SUNTRUST BANK,MANUFACTURING,27.5,35.0,2026-01-02
TATUM BANK,MANUFACTURING,22.0,36.0,2026-01-02
UNITED BANK FOR AFRICA,MANUFACTURING,,,2026-01-02
UNION BANK,MANUFACTURING,28.5,32.0,2026-01-02
UNITY BANK,MANUFACTURING,30.0,37.0,2026-01-02
WEMA BANK,MANUFACTURING,30.0,38.0,2026-01-02
ZENITH BANK,MANUFACTURING,32.5,33.5,2026-01-02
ACCESS BANK,REAL ESTATE ACTIVITIES,,,2026-01-02
ALPHA MORGAN BANK,REAL ESTATE ACTIVITIES,25.5,32.0,2026-01-02
CITI BANK,REAL ESTATE ACTIVITIES,,,2026-01-02
CORONATION MERCHANT BANK,REAL ESTATE ACTIVITIES,19.5,24.0,2026-01-02
ECOBANK,REAL ESTATE ACTIVITIES,,,2026-01-02
FBN QUEST MERCHANT BANK,REAL ESTATE ACTIVITIES,26.75,35.0,2026-01-02
FCMB,REAL ESTATE ACTIVITIES,30.0,30.0,2026-01-02
FIDELITY BANK,REAL ESTATE ACTIVITIES,31.0,46.1,2026-01-02
FIRST BANK OF NIGERIA,REAL ESTATE ACTIVITIES,30.0,36.0,2026-01-02
FSDH MERCHANT BANK,REAL ESTATE ACTIVITIES,26.0,36.0,2026-01-02
GLOBUS BANK LTD,REAL ESTATE ACTIVITIES,,,2026-01-02
GREENWICH MERCHANT BANK,REAL ESTATE ACTIVITIES,31.0,33.0,2026-01-02
GUARANTY TRUST BANK,REAL ESTATE ACTIVITIES,,,2026-01-02
KEYSTONE BANK LTD,REAL ESTATE ACTIVITIES,27.0,27.0,2026-01-02
NOVA BANK,REAL ESTATE ACTIVITIES,30.5,36.0,2026-01-02
OPTIMUS BANK,REAL ESTATE ACTIVITIES,30.0,30.0,2026-01-02
PARALLEX BANK,REAL ESTATE ACTIVITIES,28.5,35.0,2026-01-02
POLARIS BANK,REAL ESTATE ACTIVITIES,30.0,32.5,2026-01-02
PREMIUM TRUST BANK,REAL ESTATE ACTIVITIES,29.0,36.0,2026-01-02
PROVIDUS BANK,REAL ESTATE ACTIVITIES,28.0,35.0,2026-01-02
RAND MERCHANT BANK NIG. LTD,REAL ESTATE ACTIVITIES,27.0,35.0,2026-01-02
SIGNATURE BANK,REAL ESTATE ACTIVITIES,,,2026-01-02
STANBIC IBTC,REAL ESTATE ACTIVITIES,,,2026-01-02
STANDARD CHARTERED BANK,REAL ESTATE ACTIVITIES,8.0,48.0,2026-01-02
STERLING BANK,REAL ESTATE ACTIVITIES,23.0,26.0,2026-01-02
SUNTRUST BANK,REAL ESTATE ACTIVITIES,27.5,35.0,2026-01-02
TATUM BANK,REAL ESTATE ACTIVITIES,20.5,33.0,2026-01-02
UNITED BANK FOR AFRICA,REAL ESTATE ACTIVITIES,,,2026-01-02
UNION BANK,REAL ESTATE ACTIVITIES,28.5,32.0,2026-01-02
UNITY BANK,REAL ESTATE ACTIVITIES,30.0,37.0,2026-01-02
WEMA BANK,REAL ESTATE ACTIVITIES,30.0,38.0,2026-01-02
ZENITH BANK,REAL ESTATE ACTIVITIES,32.5,32.5,2026-01-02
ACCESS BANK,PUBLIC UTILITIES,,,2026-01-02
ALPHA MORGAN BANK,PUBLIC UTILITIES,,,2026-01-02
CITI BANK,PUBLIC UTILITIES,,,2026-01-02
CORONATION MERCHANT BANK,PUBLIC UTILITIES,,,2026-01-02
ECOBANK,PUBLIC UTILITIES,,,2026-01-02
FBN QUEST MERCHANT BANK,PUBLIC UTILITIES,,,2026-01-02
