bank_name,sector,prime_rate,max_rate,reporting_date
STERLING BANK,PUBLIC UTILITIES,23.0,26.0,2026-01-23
SUNTRUST BANK,PUBLIC UTILITIES,27.5,35.0,2026-01-23
TATUM BANK,PUBLIC UTILITIES,,,2026-01-23
UNITED BANK FOR AFRICA,PUBLIC UTILITIES,,,2026-01-23
UNION BANK,PUBLIC UTILITIES,28.5,30.0,2026-01-23
UNITY BANK,PUBLIC UTILITIES,,,2026-01-23
WEMA BANK,PUBLIC UTILITIES,30.0,38.0,2026-01-23
ZENITH BANK,PUBLIC UTILITIES,32.5,34.5,2026-01-23
ACCESS BANK,GENERAL COMMERCE,,,2026-01-23
ALPHA MORGAN BANK,GENERAL COMMERCE,25.5,32.0,2026-01-23
CITI BANK,GENERAL COMMERCE,28.0,32.0,2026-01-23
CORONATION MERCHANT BANK,GENERAL COMMERCE,19.5,23.0,2026-01-23
ECOBANK,GENERAL COMMERCE,30.0,34.0,2026-01-23
FBN QUEST MERCHANT BANK,GENERAL COMMERCE,26.75,35.0,2026-01-23
FCMB,GENERAL COMMERCE,26.3,26.3,2026-01-23
FIDELITY BANK,GENERAL COMMERCE,31.0,46.1,2026-01-23
FIRST BANK OF NIGERIA,GENERAL COMMERCE,30.0,36.0,2026-01-23
FSDH MERCHANT BANK,GENERAL COMMERCE,26.0,36.0,2026-01-23
GLOBUS BANK LTD,GENERAL COMMERCE,27.0,33.0,2026-01-23
GREENWICH MERCHANT BANK,GENERAL COMMERCE,31.0,33.0,2026-01-23
GUARANTY TRUST BANK,GENERAL COMMERCE,27.0,30.0,2026-01-23
KEYSTONE BANK LTD,GENERAL COMMERCE,25.0,32.0,2026-01-23
NOVA BANK,GENERAL COMMERCE,30.5,36.0,2026-01-23
OPTIMUS BANK,GENERAL COMMERCE,30.0,23.93,2026-01-23
PARALLEX BANK,GENERAL COMMERCE,28.5,35.0,2026-01-23
POLARIS BANK,GENERAL COMMERCE,30.0,32.5,2026-01-23
PREMIUM TRUST BANK,GENERAL COMMERCE,29.0,45.0,2026-01-23
PROVIDUS BANK,GENERAL COMMERCE,28.0,36.0,2026-01-23
RAND MERCHANT BANK NIG. LTD,GENERAL COMMERCE,27.0,35.0,2026-01-23
SIGNATURE BANK,GENERAL COMMERCE,24.5,24.5,2026-01-23
STANBIC IBTC,GENERAL COMMERCE,32.0,36.0,2026-01-23
STANDARD CHARTERED BANK,GENERAL COMMERCE,1.0,60.0,2026-01-23
STERLING BANK,GENERAL COMMERCE,23.0,26.0,2026-01-23
SUNTRUST BANK,GENERAL COMMERCE,27.5,35.0,2026-01-23
TATUM BANK,GENERAL COMMERCE,22.0,34.0,2026-01-23
UNITED BANK FOR AFRICA,GENERAL COMMERCE,,,2026-01-23
UNION BANK,GENERAL COMMERCE,28.5,40.0,2026-01-23
UNITY BANK,GENERAL COMMERCE,29.0,37.0,2026-01-23
WEMA BANK,GENERAL COMMERCE,30.0,38.0,2026-01-23
ZENITH BANK,GENERAL COMMERCE,32.5,34.5,2026-01-23
ACCESS BANK,TRANSPORTATION & STORAGE,,,2026-01-23
ALPHA MORGAN BANK,TRANSPORTATION & STORAGE,25.5,32.0,2026-01-23
CITI BANK,TRANSPORTATION & STORAGE,,,2026-01-23
CORONATION MERCHANT BANK,TRANSPORTATION & STORAGE,19.5,23.0,2026-01-23
ECOBANK,TRANSPORTATION & STORAGE,9.0,30.0,2026-01-23
FBN QUEST MERCHANT BANK,TRANSPORTATION & STORAGE,26.75,26.75,2026-01-23
FCMB,TRANSPORTATION & STORAGE,33.0,33.0,2026-01-23
FIDELITY BANK,TRANSPORTATION & STORAGE,31.0,46.1,2026-01-23
FIRST BANK OF NIGERIA,TRANSPORTATION & STORAGE,30.0,36.0,2026-01-23
FSDH MERCHANT BANK,TRANSPORTATION & STORAGE,26.0,36.0,2026-01-23
GLOBUS BANK LTD,TRANSPORTATION & STORAGE,,,2026-01-23
GREENWICH MERCHANT BANK,TRANSPORTATION & STORAGE,31.0,33.0,2026-01-23
GUARANTY TRUST BANK,TRANSPORTATION & STORAGE,27.0,30.0,2026-01-23
KEYSTONE BANK LTD,TRANSPORTATION & STORAGE,26.4,26.4,2026-01-23
NOVA BANK,TRANSPORTATION & STORAGE,30.5,36.0,2026-01-23
OPTIMUS BANK,TRANSPORTATION & STORAGE,30.0,25.29,2026-01-23
PARALLEX BANK,TRANSPORTATION & STORAGE,28.5,35.0,2026-01-23
POLARIS BANK,TRANSPORTATION & STORAGE,30.0,32.5,2026-01-23
PREMIUM TRUST BANK,TRANSPORTATION & STORAGE,29.0,36.0,2026-01-23
PROVIDUS BANK,TRANSPORTATION & STORAGE,28.0,30.0,2026-01-23
RAND MERCHANT BANK NIG. LTD,TRANSPORTATION & STORAGE,27.0,35.0,2026-01-23
SIGNATURE BANK,TRANSPORTATION & STORAGE,,,2026-01-23
STANBIC IBTC,TRANSPORTATION & STORAGE,,,2026-01-23
STANDARD CHARTERED BANK,TRANSPORTATION & STORAGE,1.0,60.0,2026-01-23
STERLING BANK,TRANSPORTATION & STORAGE,23.0,26.0,2026-01-23
SUNTRUST BANK,TRANSPORTATION & STORAGE,27.5,35.0,2026-01-23
TATUM BANK,TRANSPORTATION & STORAGE,22.0,30.0,2026-01-23
UNITED BANK FOR AFRICA,TRANSPORTATION & STORAGE,,,2026-01-23
UNION BANK,TRANSPORTATION & STORAGE,28.5,32.0,2026-01-23
UNITY BANK,TRANSPORTATION & STORAGE,27.0,34.0,2026-01-23
WEMA BANK,TRANSPORTATION & STORAGE,30.0,38.0,2026-01-23
ZENITH BANK,TRANSPORTATION & STORAGE,32.5,34.5,2026-01-23
ACCESS BANK,FINANCE & INSURANCE,,,2026-01-23
ALPHA MORGAN BANK,FINANCE & INSURANCE,25.5,32.0,2026-01-23
CITI BANK,FINANCE & INSURANCE,,,2026-01-23
CORONATION MERCHANT BANK,FINANCE & INSURANCE,19.5,23.0,2026-01-23
ECOBANK,FINANCE & INSURANCE,,,2026-01-23
FBN QUEST MERCHANT BANK,FINANCE & INSURANCE,26.75,35.0,2026-01-23
FCMB,FINANCE & INSURANCE,,,2026-01-23
FIDELITY BANK,FINANCE & INSURANCE,31.0,39.5,2026-01-23
FIRST BANK OF NIGERIA,FINANCE & INSURANCE,30.0,36.0,2026-01-23
FSDH MERCHANT BANK,FINANCE & INSURANCE,26.0,34.0,2026-01-23
GLOBUS BANK LTD,FINANCE & INSURANCE,25.0,33.0,2026-01-23
GREENWICH MERCHANT BANK,FINANCE & INSURANCE,31.0,33.0,2026-01-23
GUARANTY TRUST BANK,FINANCE & INSURANCE,27.0,30.0,2026-01-23
KEYSTONE BANK LTD,FINANCE & INSURANCE,29.0,29.0,2026-01-23
NOVA BANK,FINANCE & INSURANCE,30.5,36.0,2026-01-23
OPTIMUS BANK,FINANCE & INSURANCE,30.0,24.5,2026-01-23
PARALLEX BANK,FINANCE & INSURANCE,28.5,35.0,2026-01-23
POLARIS BANK,FINANCE & INSURANCE,30.0,32.5,2026-01-23
PREMIUM TRUST BANK,FINANCE & INSURANCE,29.0,36.0,2026-01-23
PROVIDUS BANK,FINANCE & INSURANCE,28.0,32.0,2026-01-23
RAND MERCHANT BANK NIG. LTD,FINANCE & INSURANCE,27.0,35.0,2026-01-23
SIGNATURE BANK,FINANCE & INSURANCE,,,2026-01-23
STANBIC IBTC,FINANCE & INSURANCE,32.0,36.0,2026-01-23
STANDARD CHARTERED BANK,FINANCE & INSURANCE,8.0,60.0,2026-01-23
STERLING BANK,FINANCE & INSURANCE,23.0,26.0,2026-01-23
SUNTRUST BANK,FINANCE & INSURANCE,27.5,35.0,2026-01-23
TATUM BANK,FINANCE & INSURANCE,25.5,38.0,2026-01-23
UNITED BANK FOR AFRICA,FINANCE & INSURANCE,,,2026-01-23
UNION BANK,FINANCE & INSURANCE,28.5,32.0,2026-01-23
UNITY BANK,FINANCE & INSURANCE,,,2026-01-23
WEMA BANK,FINANCE & INSURANCE,30.0,38.0,2026-01-23
ZENITH BANK,FINANCE & INSURANCE,32.5,32.5,2026-01-23
ACCESS BANK,GENERAL,,,2026-01-23
ALPHA MORGAN BANK,GENERAL,25.5,32.0,2026-01-23
CITI BANK,GENERAL,28.0,32.0,2026-01-23
CORONATION MERCHANT BANK,GENERAL,19.5,23.0,2026-01-23
ECOBANK,GENERAL,25.0,33.0,2026-01-23
FBN QUEST MERCHANT BANK,GENERAL,26.75,48.0,2026-01-23
FCMB,GENERAL,5.0,33.5,2026-01-23
FIDELITY BANK,GENERAL,31.0,46.1,2026-01-23
FIRST BANK OF NIGERIA,GENERAL,30.0,36.0,2026-01-23
FSDH MERCHANT BANK,GENERAL,26.0,38.0,2026-01-23
GLOBUS BANK LTD,GENERAL,26.5,33.0,2026-01-23
GREENWICH MERCHANT BANK,GENERAL,31.0,33.0,2026-01-23
GUARANTY TRUST BANK,GENERAL,27.0,30.0,2026-01-23
KEYSTONE BANK LTD,GENERAL,3.0,35.0,2026-01-23
NOVA BANK,GENERAL,30.5,36.0,2026-01-23
OPTIMUS BANK,GENERAL,30.0,17.58,2026-01-23
PARALLEX BANK,GENERAL,28.5,35.0,2026-01-23
POLARIS BANK,GENERAL,30.0,32.5,2026-01-23
PREMIUM TRUST BANK,GENERAL,29.0,39.9,2026-01-23
PROVIDUS BANK,GENERAL,28.0,36.0,2026-01-23
RAND MERCHANT BANK NIG. LTD,GENERAL,27.0,35.0,2026-01-23
SIGNATURE BANK,GENERAL,22.5,23.0,2026-01-23
STANBIC IBTC,GENERAL,,,2026-01-23
STANDARD CHARTERED BANK,GENERAL,1.0,60.0,2026-01-23
STERLING BANK,GENERAL,27.0,29.0,2026-01-23
SUNTRUST BANK,GENERAL,27.5,35.0,2026-01-23
TATUM BANK,GENERAL,22.0,37.0,2026-01-23
UNITED BANK FOR AFRICA,GENERAL,33.05,38.05,2026-01-23
UNION BANK,GENERAL,28.5,32.0,2026-01-23
UNITY BANK,GENERAL,16.0,37.0,2026-01-23
WEMA BANK,GENERAL,30.0,38.0,2026-01-23
ZENITH BANK,GENERAL,32.5,34.5,2026-01-23
ACCESS BANK,GOVERNMENT,,,2026-01-23
ALPHA MORGAN BANK,GOVERNMENT,23.0,28.5,2026-01-23
CITI BANK,GOVERNMENT,,,2026-01-23
CORONATION MERCHANT BANK,GOVERNMENT,,,2026-01-23
ECOBANK,GOVERNMENT,,,2026-01-23
FBN QUEST MERCHANT BANK,GOVERNMENT,26.75,35.0,2026-01-23
FCMB,GOVERNMENT,,,2026-01-23
FIDELITY BANK,GOVERNMENT,20.0,31.0,2026-01-23
FIRST BANK OF NIGERIA,GOVERNMENT,30.0,36.0,2026-01-23
FSDH MERCHANT BANK,GOVERNMENT,26.0,32.0,2026-01-23
GLOBUS BANK LTD,GOVERNMENT,,,2026-01-23
GREENWICH MERCHANT BANK,GOVERNMENT,31.0,33.0,2026-01-23
GUARANTY TRUST BANK,GOVERNMENT,,,2026-01-23
KEYSTONE BANK LTD,GOVERNMENT,22.0,23.5,2026-01-23
NOVA BANK,GOVERNMENT,30.5,36.0,2026-01-23
OPTIMUS BANK,GOVERNMENT,,,2026-01-23
PARALLEX BANK,GOVERNMENT,28.5,35.0,2026-01-23
POLARIS BANK,GOVERNMENT,30.0,32.5,2026-01-23
PREMIUM TRUST BANK,GOVERNMENT,29.0,36.0,2026-01-23
PROVIDUS BANK,GOVERNMENT,28.0,35.0,2026-01-23
RAND MERCHANT BANK NIG. LTD,GOVERNMENT,27.0,35.0,2026-01-23
SIGNATURE BANK,GOVERNMENT,,,2026-01-23
STANBIC IBTC,GOVERNMENT,,,2026-01-23
STANDARD CHARTERED BANK,GOVERNMENT,21.0,28.0,2026-01-23
STERLING BANK,GOVERNMENT,23.0,26.0,2026-01-23
SUNTRUST BANK,GOVERNMENT,27.5,35.0,2026-01-23
TATUM BANK,GOVERNMENT,,,2026-01-23
UNITED BANK FOR AFRICA,GOVERNMENT,,,2026-01-23
UNION BANK,GOVERNMENT,28.5,32.0,2026-01-23
UNITY BANK,GOVERNMENT,25.0,27.0,2026-01-23
WEMA BANK,GOVERNMENT,30.0,38.0,2026-01-23
ZENITH BANK,GOVERNMENT,32.5,30.5,2026-01-23
ACCESS BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
ALPHA MORGAN BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",25.5,28.5,2026-01-23
CITI BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
CORONATION MERCHANT BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
ECOBANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
FBN QUEST MERCHANT BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",26.75,26.75,2026-01-23
FCMB,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
FIDELITY BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",31.0,46.1,2026-01-23
FIRST BANK OF NIGERIA,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",30.0,36.0,2026-01-23
FSDH MERCHANT BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
GLOBUS BANK LTD,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
GREENWICH MERCHANT BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",31.0,33.0,2026-01-23
GUARANTY TRUST BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
KEYSTONE BANK LTD,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",12.0,12.0,2026-01-23
NOVA BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",30.5,36.0,2026-01-23
OPTIMUS BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",30.0,35.0,2026-01-23
PARALLEX BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",28.5,35.0,2026-01-23
POLARIS BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",30.0,32.5,2026-01-23
PREMIUM TRUST BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",29.0,36.0,2026-01-23
PROVIDUS BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",28.0,30.0,2026-01-23
RAND MERCHANT BANK NIG. LTD,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",27.0,35.0,2026-01-23
SIGNATURE BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
STANBIC IBTC,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
STANDARD CHARTERED BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",27.5,48.0,2026-01-23
STERLING BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",23.0,26.0,2026-01-23
SUNTRUST BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",27.5,35.0,2026-01-23
TATUM BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
UNITED BANK FOR AFRICA,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
UNION BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",28.5,32.0,2026-01-23
UNITY BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",,,2026-01-23
WEMA BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",30.0,38.0,2026-01-23
ZENITH BANK,"WATER SUPPLY, SEWAGE, WASTE MANAGEMENT AND REMEDIATION",32.5,28.5,2026-01-23
ACCESS BANK,CONSTRUCTION,,,2026-01-23
ALPHA MORGAN BANK,CONSTRUCTION,25.5,32.0,2026-01-23
CITI BANK,CONSTRUCTION,28.0,32.0,2026-01-23
CORONATION MERCHANT BANK,CONSTRUCTION,19.5,23.0,2026-01-23
ECOBANK,CONSTRUCTION,,,2026-01-23
FBN QUEST MERCHANT BANK,CONSTRUCTION,26.75,35.0,2026-01-23
FCMB,CONSTRUCTION,,,2026-01-23
FIDELITY BANK,CONSTRUCTION,31.0,46.1,2026-01-23
FIRST BANK OF NIGERIA,CONSTRUCTION,30.0,36.0,2026-01-23
FSDH MERCHANT BANK,CONSTRUCTION,26.0,36.0,2026-01-23
GLOBUS BANK LTD,CONSTRUCTION,30.0,30.0,2026-01-23
GREENWICH MERCHANT BANK,CONSTRUCTION,31.0,33.0,2026-01-23
GUARANTY TRUST BANK,CONSTRUCTION,,,2026-01-23
KEYSTONE BANK LTD,CONSTRUCTION,32.0,32.0,2026-01-23
NOVA BANK,CONSTRUCTION,30.5,36.0,2026-01-23
OPTIMUS BANK,CONSTRUCTION,30.0,20.0,2026-01-23
PARALLEX BANK,CONSTRUCTION,28.5,35.0,2026-01-23
POLARIS BANK,CONSTRUCTION,30.0,32.5,2026-01-23
PREMIUM TRUST BANK,CONSTRUCTION,29.0,36.0,2026-01-23
PROVIDUS BANK,CONSTRUCTION,28.0,35.0,2026-01-23
RAND MERCHANT BANK NIG. LTD,CONSTRUCTION,27.0,35.0,2026-01-23
SIGNATURE BANK,CONSTRUCTION,,,2026-01-23
STANBIC IBTC,CONSTRUCTION,32.0,36.0,2026-01-23
STANDARD CHARTERED BANK,CONSTRUCTION,1.0,48.0,2026-01-23
STERLING BANK,CONSTRUCTION,23.0,26.0,2026-01-23
SUNTRUST BANK,CONSTRUCTION,27.5,35.0,2026-01-23
TATUM BANK,CONSTRUCTION,22.0,33.0,2026-01-23
UNITED BANK FOR AFRICA,CONSTRUCTION,,,2026-01-23
UNION BANK,CONSTRUCTION,28.5,32.0,2026-01-23
UNITY BANK,CONSTRUCTION,32.0,37.0,2026-01-23
WEMA BANK,CONSTRUCTION,30.0,38.0,2026-01-23
ZENITH BANK,CONSTRUCTION,32.5,34.5,2026-01-23
ACCESS BANK,INFORMATION AND COMMUNICATION,,,2026-01-23
ALPHA MORGAN BANK,INFORMATION AND COMMUNICATION,25.5,32.0,2026-01-23
CITI BANK,INFORMATION AND COMMUNICATION,28.0,32.0,2026-01-23
CORONATION MERCHANT BANK,INFORMATION AND COMMUNICATION,19.5,23.0,2026-01-23
ECOBANK,INFORMATION AND COMMUNICATION,33.0,33.0,2026-01-23
FBN QUEST MERCHANT BANK,INFORMATION AND COMMUNICATION,26.75,35.0,2026-01-23
FCMB,INFORMATION AND COMMUNICATION,30.0,30.0,2026-01-23
FIDELITY BANK,INFORMATION AND COMMUNICATION,31.0,46.1,2026-01-23
FIRST BANK OF NIGERIA,INFORMATION AND COMMUNICATION,30.0,36.0,2026-01-23
FSDH MERCHANT BANK,INFORMATION AND COMMUNICATION,26.0,35.0,2026-01-23
GLOBUS BANK LTD,INFORMATION AND COMMUNICATION,29.0,29.0,2026-01-23
GREENWICH MERCHANT BANK,INFORMATION AND COMMUNICATION,31.0,33.0,2026-01-23
GUARANTY TRUST BANK,INFORMATION AND COMMUNICATION,27.0,30.0,2026-01-23
KEYSTONE BANK LTD,INFORMATION AND COMMUNICATION,26.5,26.5,2026-01-23
NOVA BANK,INFORMATION AND COMMUNICATION,30.5,36.0,2026-01-23
OPTIMUS BANK,INFORMATION AND COMMUNICATION,30.0,20.0,2026-01-23
PARALLEX BANK,INFORMATION AND COMMUNICATION,28.5,35.0,2026-01-23
POLARIS BANK,INFORMATION AND COMMUNICATION,30.0,32.5,2026-01-23
PREMIUM TRUST BANK,INFORMATION AND COMMUNICATION,29.0,36.6,2026-01-23
PROVIDUS BANK,INFORMATION AND COMMUNICATION,28.0,24.0,2026-01-23
RAND MERCHANT BANK NIG. LTD,INFORMATION AND COMMUNICATION,27.0,35.0,2026-01-23
SIGNATURE BANK,INFORMATION AND COMMUNICATION,22.0,24.0,2026-01-23
STANBIC IBTC,INFORMATION AND COMMUNICATION,,,2026-01-23
STANDARD CHARTERED BANK,INFORMATION AND COMMUNICATION,8.0,31.25,2026-01-23
STERLING BANK,INFORMATION AND COMMUNICATION,23.0,26.0,2026-01-23
SUNTRUST BANK,INFORMATION AND COMMUNICATION,27.5,35.0,2026-01-23
TATUM BANK,INFORMATION AND COMMUNICATION,25.5,26.0,2026-01-23
UNITED BANK FOR AFRICA,INFORMATION AND COMMUNICATION,,,2026-01-23
UNION BANK,INFORMATION AND COMMUNICATION,28.5,32.0,2026-01-23
UNITY BANK,INFORMATION AND COMMUNICATION,,,2026-01-23
WEMA BANK,INFORMATION AND COMMUNICATION,30.0,38.0,2026-01-23
ZENITH BANK,INFORMATION AND COMMUNICATION,32.5,34.5,2026-01-23
ACCESS BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,2026-01-23
ALPHA MORGAN BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",25.5,30.0,2026-01-23
CITI BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,2026-01-23
CORONATION MERCHANT BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",19.5,23.0,2026-01-23
ECOBANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,2026-01-23
FBN QUEST MERCHANT BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",26.75,35.0,2026-01-23
FCMB,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,2026-01-23
FIDELITY BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",31.0,46.1,2026-01-23
FIRST BANK OF NIGERIA,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",30.0,36.0,2026-01-23
FSDH MERCHANT BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",26.0,36.0,2026-01-23
GLOBUS BANK LTD,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",28.0,32.0,2026-01-23
GREENWICH MERCHANT BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",31.0,33.0,2026-01-23
GUARANTY TRUST BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",27.0,30.0,2026-01-23
KEYSTONE BANK LTD,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",28.0,31.5,2026-01-23
NOVA BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",30.5,36.0,2026-01-23
OPTIMUS BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,2026-01-23
PARALLEX BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",28.5,35.0,2026-01-23
POLARIS BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",30.0,32.5,2026-01-23
PREMIUM TRUST BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",29.0,36.0,2026-01-23
PROVIDUS BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",28.0,31.5,2026-01-23
RAND MERCHANT BANK NIG. LTD,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",27.0,35.0,2026-01-23
SIGNATURE BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,2026-01-23
STANBIC IBTC,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,2026-01-23
STANDARD CHARTERED BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",8.0,60.0,2026-01-23
STERLING BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",23.0,26.0,2026-01-23
SUNTRUST BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",27.5,35.0,2026-01-23
TATUM BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,2026-01-23
UNITED BANK FOR AFRICA,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",,,2026-01-23
UNION BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",28.5,32.0,2026-01-23
UNITY BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",32.0,37.0,2026-01-23
WEMA BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",30.0,38.0,2026-01-23
ZENITH BANK,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",32.5,34.5,2026-01-23
ACCESS BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,2026-01-23
ALPHA MORGAN BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,25.5,32.0,2026-01-23
CITI BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,2026-01-23
CORONATION MERCHANT BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,19.5,23.0,2026-01-23
ECOBANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,2026-01-23
FBN QUEST MERCHANT BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,26.75,35.0,2026-01-23
FCMB,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,2026-01-23
FIDELITY BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,31.0,40.0,2026-01-23
FIRST BANK OF NIGERIA,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,30.0,36.0,2026-01-23
FSDH MERCHANT BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,26.0,32.0,2026-01-23
GLOBUS BANK LTD,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,2026-01-23
GREENWICH MERCHANT BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,31.0,33.0,2026-01-23
GUARANTY TRUST BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,27.0,30.0,2026-01-23
KEYSTONE BANK LTD,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,2026-01-23
NOVA BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,30.5,36.0,2026-01-23
OPTIMUS BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,2026-01-23
PARALLEX BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,28.5,35.0,2026-01-23
POLARIS BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,30.0,32.5,2026-01-23
PREMIUM TRUST BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,29.0,36.0,2026-01-23
PROVIDUS BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,28.0,30.0,2026-01-23
RAND MERCHANT BANK NIG. LTD,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,27.0,35.0,2026-01-23
SIGNATURE BANK,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,,,2026-01-23
